from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Inactivo_t1,8.1,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2019_t3-t4
Desocupado_t0,Inactivo_t1,3.4,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2019_t3-t4
Inactivo_t0,Inactivo_t1,87.2,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2019_t3-t4
Trab_familiar_tpost,Inactivo_t1,1.3,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2019_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,75.9,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t1-t2
Ocupado_t0,Inactivo_t1,17.6,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t1-t2
Trab_familiar_tpost,Inactivo_t1,0.9,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2020_t1-t2
Desocupado_t0,Inactivo_t1,5.6,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,89.8,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t2-t3
Ocupado_t0,Inactivo_t1,5.2,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t2-t3
Desocupado_t0,Inactivo_t1,3.3,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t2-t3
Trab_familiar_tpost,Inactivo_t1,1.7,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2020_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,91.6,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t3-t4
Trab_familiar_tpost,Inactivo_t1,1.8,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2020_t3-t4
Ocupado_t0,Inactivo_t1,4.3,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t3-t4
Desocupado_t0,Inactivo_t1,2.3,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2020_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,86.6,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t1-t2
