from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,89.1,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2016_t2-t3
Inactivo_tant,Ocupado_tpost,7.6,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2016_t2-t3
Inactivo_tant,Desocupado_tpost,2.8,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2016_t2-t3
Inactivo_tant,Trab_familiar_tpost,0.5,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2016_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,89.5,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2016_t3-t4
Inactivo_tant,Trab_familiar_tpost,0.5,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2016_t3-t4
Inactivo_tant,Ocupado_tpost,7,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2016_t3-t4
Inactivo_tant,Desocupado_tpost,3,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2016_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,88.7,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2017_t1-t2
Inactivo_tant,Ocupado_tpost,7.8,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2017_t1-t2
Inactivo_tant,Desocupado_tpost,3.1,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2017_t1-t2
Inactivo_tant,Trab_familiar_tpost,0.3,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2017_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,88.6,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2017_t2-t3
Inactivo_tant,Ocupado_tpost,8.2,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2017_t2-t3
Inactivo_tant,Desocupado_tpost,2.9,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2017_t2-t3
Inactivo_tant,Trab_familiar_tpost,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2017_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,89.2,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2017_t3-t4
Inactivo_tant,Ocupado_tpost,7.7,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2017_t3-t4
Inactivo_tant,Desocupado_tpost,2.8,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2017_t3-t4
Inactivo_tant,Trab_familiar_tpost,0.3,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2017_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,88.8,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2018_t1-t2
Inactivo_tant,Ocupado_tpost,7.5,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2018_t1-t2
Inactivo_tant,Desocupado_tpost,3.5,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2018_t1-t2
Inactivo_tant,Trab_familiar_tpost,0.2,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2018_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,89,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2018_t2-t3
Inactivo_tant,Ocupado_tpost,7.3,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2018_t2-t3
Inactivo_tant,Desocupado_tpost,3.4,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2018_t2-t3
Inactivo_tant,Trab_familiar_tpost,0.2,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2018_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,88.9,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2018_t3-t4
Inactivo_tant,Ocupado_tpost,7.9,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2018_t3-t4
Inactivo_tant,Desocupado_tpost,2.8,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2018_t3-t4
Inactivo_tant,Trab_familiar_tpost,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2018_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_tant,Inactivo_tpost,87.4,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2019_t1-t2
Inactivo_tant,Ocupado_tpost,8.3,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2019_t1-t2
